sample	unmap_reads
PN10RA	140892188
PN10RB	143734106
PN10RC	141340030
PN10RD	142553850
PN10RE	141737964
PN10RF	149307252
PN10RG	164711788
PN10RH	143510194
PN10RI	141966778
PN10RJ	140887708
PN10RK	142375940
PN10RL	141848272
PN10RM	148307700
PN10RN	135306348
PN10RO	147017964
PN10RP	133314420
PN10RQ	138822764
PN10RR	134845108
PN10RS	140098494
PN10RT	145932962
PN11RA	183646564
PN11RB	136000454
PN11RC	159435396
PN11RD	137839060
PN11RE	166445414
PN11RF	138999586
PN11RG	163909140
PN11RH	164229516
PN11RI	155922192
PN11RJ	165007124
PN11RK	150923606
PN11RL	141475112
PN11RM	180318808
PN11RN	170637906
PN11RO	139352308
PN12RA	149824848
PN12RB	135996004
PN12RC	147141778
PN12RD	138071334
PN12RE	141865556
PN12RF	142177606
PN12RG	141768140
PN12RH	136566934
PN12RI	156413138
PN12RJ	166155816
PN13RA	147536584
PN13RB	137909096
PN13RC	149500246
PN13RD	138309698
PN13RE	136089176
PN13RF	138752472
PN13RG	137450114
PN13RH	139027680
PN13RI	160853980
PN13RJ	138472474
PN13RK	141093074
PN13RL	144075760
PN13RM	162587430
PN13RN	159749184
PN13RO	137770678
PN13RP	148644136
PN13RQ	147806056
PN13RR	144789124
PN13RS	166058208
PN13RT	135967400
PN13RU	175943788
PN14RA	136532260
PN14RB	136958406
PN14RC	143060188
PN14RD	137804420
PN14RE	138061078
PN14RF	137316752
PN14RG	183232676
PN14RH	160973556
PN14RI	194044572
PN14RJ	139066680
PN14RK	145999250
PN14RL	142940288
PN14RM	137479482
PN14RN	141983380
PN14RO	139789416
PN14RP	133208718
PN14RQ	147367524
PN14RR	137411074
PN14RS	138637212
PN14RT	139205456
PN15RA	137751902
PN15RB	138677388
PN15RC	125763462
PN15RD	140112178
PN15RE	138599208
PN15RF	136220028
PN15RG	138333822
PN15RH	142390662
PN15RI	137013708
PN15RJ	138742902
PN15RK	138326656
PN15RL	138585408
PN15RM	136307336
PN15RN	138319956
PN15RO	137558768
PN15RP	138668748
PN16RA	163282904
PN16RB	140241352
PN16RC	160351604
PN16RD	146658902
PN16RE	137463978
PN16RF	158449170
PN16RG	138561454
PN16RH	157230594
PN16RI	141402098
PN16RJ	159826358
PN16RK	136591778
PN16RL	132915846
PN16RM	132424322
PN16RN	138194562
PN16RO	138765486
PN16RP	140948238
PN16RQ	137519214
PN16RR	133262450
PN16RS	152371274
PN16RT	132738812
PN16RU	152133198
PN16RV	139471614
PN1CA	151112242
PN1CB	143611682
PN1CC	133422612
PN1CD	141918352
PN1CE	138207498
PN1CF	137893854
PN1CG	130106620
PN1CH	141757008
PN1CI	150375286
PN1CJ	161573632
PN1CK	130579810
PN1CL	138001406
PN1DA	6830674
PN1DB	6235346
PN1DC	64989628
PN1DD	8676416
PN1DE	8294212
PN1DF	5733816
PN1DG	6649668
PN1DH	19008958
PN1DI	10829340
PN1DJ	73372700
PN1DK	50043986
PN1DL	84882780
PN1GA	6148696
PN1GB	42852428
PN1GC	62354814
PN1GD	35712718
PN1GE	83732296
PN1GF	37068650
PN1GG	42854982
PN1GH	70710156
PN1GI	12029972
PN1GJ	65676324
PN1GK	69322076
PN1GL	50564290
PN1IA	42993746
PN1IB	45183424
PN1IC	25626818
PN1ID	35496636
PN1IE	10828088
PN1IF	9521628
PN1IG	10058852
PN1IH	8059898
PN1II	19372708
PN1IJ	7459698
PN1IK	21009204
PN1IL	15479066
PN1JB	13219896
PN1JC	63431470
PN1JD	7338256
PN1JE	80005654
PN1JF	64357998
PN1JG	54281410
PN1JH	70576412
PN1JI	16678564
PN1JJ	71627318
PN1JK	66787066
PN1JL	82700902
PN1LA	13987730
PN1LB	9186334
PN1LC	118287312
PN1LD	141636272
PN1LE	71031174
PN1LF	113650070
PN1LG	61885452
PN1LH	143323380
PN1LI	146787096
PN1LJ	84626894
PN1LK	143625226
PN1LL	50359080
PN1RA	228698292
PN1RB	203570328
PN1RC	197035664
PN1RD	210582684
PN1RE	191169570
PN1RF	173686074
PN1RG	66698870
PN1RH	209609582
PN1RI	143747070
PN1RJ	151841922
PN1RK	219994528
PN1RL	204184170
PN2CA	139975780
PN2CB	133716640
PN2CC	115137202
PN2CD	116503838
PN2CE	105958912
PN2CF	139428822
PN2CG	137502322
PN2CH	144468664
PN2CI	176795382
PN2CJ	134089798
PN2DA	7330608
PN2DB	42509424
PN2DC	4694130
PN2DD	8900636
PN2DE	10245920
PN2DF	5284312
PN2DG	45301870
PN2DH	4274556
PN2DI	6197380
PN2DJ	9378182
PN2GA	33859152
PN2GB	68849224
PN2GC	82733072
PN2GD	71365260
PN2GE	58609348
PN2GF	76691758
PN2GG	66560906
PN2GH	71545684
PN2GI	72691806
PN2GJ	75760494
PN2IA	72104208
PN2IB	61482958
PN2IC	29319328
PN2ID	12784872
PN2IE	5557424
PN2IF	56937596
PN2IG	5760362
PN2IH	5540398
PN2II	6846370
PN2IJ	7404594
PN2JA	47287700
PN2JB	74082974
PN2JC	90643332
PN2JD	92500496
PN2JE	66772632
PN2JF	16340980
PN2JG	32105924
PN2JH	16067272
PN2JI	14522910
PN2JJ	9763184
PN2LA	139275842
PN2LB	110350576
PN2LC	68839720
PN2LD	105679246
PN2LE	63843002
PN2LF	100116288
PN2LG	110379150
PN2LH	102466782
PN2LI	114676490
PN2LJ	81539334
PN2RA	210033066
PN2RB	140560192
PN2RC	127831174
PN2RD	99465820
PN2RE	135033694
PN2RF	208901162
PN2RG	137896276
PN2RH	151395740
PN2RI	165551602
PN2RJ	143547584
PN3CA	122321772
PN3CB	161133606
PN3CC	171575784
PN3CD	147810222
PN3CE	36222908
PN3CF	145744180
PN3CG	141979440
PN3CH	127289054
PN3DA	4223482
PN3DC	5099754
PN3DD	79252318
PN3DF	46449440
PN3DG	78570694
PN3DH	7401894
PN3GA	36042300
PN3GB	63911818
PN3GC	14393118
PN3GD	83688318
PN3GE	69454838
PN3GF	34798502
PN3GG	15594654
PN3GH	17250396
PN3IA	6935888
PN3IB	64655576
PN3IC	7440876
PN3ID	6779214
PN3IE	10008380
PN3IF	8550882
PN3IG	6039598
PN3IH	8033704
PN3JA	27245016
PN3JC	46845510
PN3JD	69914994
PN3JE	34101262
PN3JF	70993366
PN3JG	69675386
PN3JH	44542174
PN3LA	162348180
PN3LB	90456898
PN3LC	135039564
PN3LD	155748450
PN3LE	134692004
PN3LF	93014562
PN3LG	140496596
PN3LH	133553938
PN3RA	163464278
PN3RB	130867838
PN3RC	127677544
PN3RD	220360122
PN3RE	151568496
PN3RF	205562504
PN3RG	187479154
PN3RH	190267354
PN4RA	139157882
PN4RB	142164174
PN4RC	138757606
PN4RD	144959284
PN4RE	140393308
PN4RF	136029624
PN4RG	140456146
PN4RH	135673960
PN5CA	183390834
PN5CB	146128802
PN5CC	134776346
PN5CD	145142320
PN5CE	159844714
PN5CF	133606492
PN5CG	161345980
PN5CH	85740346
PN5DA	3884468
PN5DB	7378258
PN5DC	10179670
PN5DD	71780746
PN5DE	7134980
PN5DF	7714172
PN5DG	3599306
PN5DH	56186870
PN5GA	42849036
PN5GB	24949114
PN5GC	26265856
PN5GD	56997580
PN5GE	31515350
PN5GF	46581026
PN5GG	65222646
PN5GH	39636138
PN5IA	59314554
PN5IB	100036044
PN5IC	76844440
PN5ID	63706038
PN5IE	68491456
PN5IF	66832270
PN5IG	68272454
PN5IH	90366358
PN5JA	69259816
PN5JB	70002964
PN5JC	70908314
PN5JD	72920188
PN5JE	68683968
PN5JF	51140964
PN5JG	68742910
PN5JH	73862170
PN5LA	139955562
PN5LB	141909866
PN5LC	138499532
PN5LD	134412858
PN5LE	146226226
PN5LF	168458930
PN5LG	157461098
PN5LH	153731558
PN5RA	216334832
PN5RB	216480704
PN5RC	215013600
PN5RD	211751230
PN5RE	208687356
PN5RF	199515810
PN5RG	218161700
PN5RH	254370026
PN6RA	139362010
PN6RB	187618726
PN6RC	233624438
PN6RD	133897136
PN6RE	135008546
PN6RF	145596192
PN6RG	151150212
PN6RH	141942478
PN6RI	141519008
PN6RJ	133799828
PN6RK	134627806
PN6RL	134092710
PN6RM	133416728
PN6RN	136219298
PN6RO	133278770
PN6RP	134728756
PN6RQ	133365128
PN6RR	135888162
PN6RS	142019610
PN6RT	140612894
PN7RA	130819626
PN7RB	135595322
PN7RC	150899076
PN7RD	133182118
PN7RE	139684640
PN7RF	133056950
PN7RG	141577774
PN7RH	134009440
PN7RI	130734064
PN7RJ	130559292
PN7RK	139046606
PN7RL	147705324
PN7RM	141270484
PN7RN	134058644
PN7RO	133068702
PN7RP	134761288
PN7RQ	133526596
PN7RR	135180170
PN7RS	133793756
PN7RT	134345378
PN7RU	133077234
PN7RV	132889348
PN8RA	136560568
PN8RB	139031680
PN8RC	130848214
PN8RD	136355704
PN8RE	135129618
PN8RF	140060786
PN8RG	139527768
PN8RH	138109208
PN8RI	137558634
PN8RJ	135227920
PN8RK	139096324
PN8RL	135266096
PN8RM	137774572
PN8RN	138006690
PN8RO	135630730
PN8RP	134177736
PN8RQ	138551384
PN8RR	135299596
PN8RS	133773176
PN9RA	132827452
PN9RB	147868086
PN9RC	138772174
PN9RD	152196498
PN9RE	152717872
PN9RF	149386722
PN9RG	135427714
PN9RH	141036316
PN9RI	142798952
PN9RJ	233661176
PN9RK	151996368
PN9RL	132150504
PN9RM	163996100
PN9RN	136903548
PN9RO	136507200
PN9RP	140019748
PN9RQ	145531260
